symbol,exchange,tf,event,side,price,line,atr_dist,touches,age_bars,vol_ratio,rsi,time
SOLUSDT,OKX,1D,break_down,support,166.06,178.126,0.94,4,134,1.94,33.1,2025-11-03T00:00:00Z
SOLUSDT,OKX,1D,break_up,resistance,145.51,143.283404,0.35,5,54,1.56,66.6,2026-01-13T00:00:00Z
SOLUSDT,OKX,1D,break_up,resistance,145.51,139.9225,0.88,3,63,1.56,66.6,2026-01-13T00:00:00Z
SOLUSDT,OKX,1D,break_down,support,105.58,117.93861,1.67,5,223,2.79,28.1,2026-01-31T00:00:00Z
SOLUSDT,OKX,1D,break_down,support,78.35,89.741923,1.34,5,170,2.7,19.7,2026-02-05T00:00:00Z
SOLUSDT,OKX,1D,break_up,resistance,85.56,83.350141,0.48,4,84,1.51,51.4,2026-04-07T00:00:00Z
SOLUSDT,OKX,1D,break_up,resistance,89.16,86.603437,0.84,5,51,1.53,61.2,2026-05-06T00:00:00Z
SOLUSDT,OKX,1D,break_down,support,74.23,76.82449,0.73,4,110,1.64,25.7,2026-06-02T00:00:00Z
SOLUSDT,OKX,1D,break_down,support,63.64,67.465833,0.95,3,113,2.68,16.5,2026-06-05T00:00:00Z
SOLUSDT,OKX,1D,break_up,resistance,85.38,77.292632,3.02,3,29,3.06,75.0,2026-08-19T00:00:00Z
